Driver,LapTime,Compound,Sector1Time,Sector2Time,Sector3Time,Track
RIC,103.149,SOFT,20.301,41.158,41.69,Abu Dhabi
RIC,,SOFT,,49.028,38.349,Abu Dhabi
RIC,84.442,SOFT,17.305,36.399,30.738,Abu Dhabi
RIC,114.641,SOFT,21.544,47.982,45.115,Abu Dhabi
SAI,,SOFT,,47.121,44.671,Abu Dhabi
SAI,84.818,SOFT,17.425,36.484,30.909,Abu Dhabi
SAI,110.028,SOFT,21.692,44.865,43.471,Abu Dhabi
SAI,,SOFT,,44.478,46.522,Abu Dhabi
SAI,84.738,SOFT,17.355,36.581,30.802,Abu Dhabi
SAI,114.325,SOFT,20.499,48.848,44.978,Abu Dhabi
MAG,,SOFT,,46.25,41.274,Abu Dhabi
MAG,85.653,SOFT,17.326,36.941,31.386,Abu Dhabi
MAG,100.684,SOFT,19.612,43.885,37.187,Abu Dhabi
MAG,,SOFT,,46.942,42.524,Abu Dhabi
MAG,84.764,SOFT,17.347,36.424,30.993,Abu Dhabi
MAG,102.574,SOFT,19.712,43.308,39.554,Abu Dhabi
BOT,,SOFT,,46.248,41.867,Abu Dhabi
BOT,84.973,SOFT,17.459,36.638,30.876,Abu Dhabi
BOT,106.966,SOFT,20.866,43.665,42.435,Abu Dhabi
BOT,,SOFT,,44.238,44.025,Abu Dhabi
BOT,84.788,SOFT,17.401,36.54,30.847,Abu Dhabi
BOT,113.943,SOFT,22.62,47.903,43.42,Abu Dhabi
ZHO,,SOFT,,44.659,42.818,Abu Dhabi
ZHO,85.114,SOFT,17.518,36.594,31.002,Abu Dhabi
ZHO,106.755,SOFT,19.969,44.851,41.935,Abu Dhabi
ZHO,,SOFT,,43.244,46.272,Abu Dhabi
ZHO,85.159,SOFT,17.332,37.008,30.819,Abu Dhabi
ZHO,114.559,SOFT,23.618,46.192,44.749,Abu Dhabi
SAR,,SOFT,,42.801,39.503,Abu Dhabi
SAR,84.722,SOFT,17.243,36.216,31.263,Abu Dhabi
SAR,114.335,SOFT,28.024,43.757,42.554,Abu Dhabi
SAR,,SOFT,,41.853,43.42,Abu Dhabi
SAR,84.532,SOFT,17.177,36.185,31.17,Abu Dhabi
SAR,106.738,SOFT,20.792,41.837,44.109,Abu Dhabi
